#         01th Cycle                       02th Cycle                       03th Cycle                       04th Cycle                       05th Cycle                       06th Cycle                       07th Cycle                       08th Cycle                       09th Cycle                       10th Cycle                       11th Cycle                       12th Cycle                       13th Cycle                       14th Cycle                       15th Cycle                       16th Cycle                       17th Cycle                       18th Cycle                       19th Cycle        
# Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN
  1819      11          4.56       1825      06          4.71       1835      03          3.93       1844      11          5.25       1857      04          5.45       1868      09          9.38       1880      04          6.96       1891      07          8.38       1903      05          4.60       1914      11          4.76       1924      12          5.34       1935      01          4.46       1945      06          6.24       1955      08          4.77       1966      02          4.10       1977      07          4.01       1988      02          5.51       1997      08          3.45       2010      04          2.88
  1819      12          4.37       1825      07          4.92       1835      04          4.15       1844      12          5.63       1857      05          6.04       1868      10          9.52       1880      05          7.27       1891      08          8.92       1903      06          4.97       1914      12          5.09       1925      01          5.46       1935      02          4.71       1945      07          6.37       1955      09          5.29       1966      03          4.34       1977      08          4.29       1988      03          5.98       1997      09          3.66       2010      05          2.95
  1820      01          4.11       1825      08          5.02       1835      05          4.45       1845      01          5.80       1857      06          6.56       1868      11          9.82       1880      06          7.55       1891      09          9.39       1903      07          5.31       1915      01          5.57       1925      02          5.58       1935      03          5.03       1945      08          6.76       1955      10          5.85       1966      04          4.55       1977      09          4.65       1988      04          6.43       1997      10          3.96       2010      06          2.99
  1820      02          3.92       1825      09          5.21       1835      06          4.58       1845      02          5.86       1857      07          7.03       1868      12         10.42       1880      07          7.79       1891      10          9.84       1903      08          5.47       1915      02          6.11       1925      03          5.79       1935      04          5.44       1945      09          7.23       1955      11          6.32       1966      05          4.80       1977      10          5.07       1988      05          6.79       1997      11          4.20       2010      07          3.05
  1820      03          3.76       1825      10          5.52       1835      07          4.77       1845      03          6.04       1857      08          7.47       1869      01         10.88       1880      08          8.02       1891      11         10.22       1903      09          5.63       1915      03          6.54       1925      04          6.07       1935      05          5.90       1945      10          7.60       1955      12          6.73       1966      06          5.08       1977      11          5.45       1988      06          7.37       1997      12          4.43       2010      08          3.17
  1820      04          3.57       1825      11          5.85       1835      08          5.16       1845      04          6.20       1857      09          8.14       1869      02         11.21       1880      09          8.31       1891      12         10.49       1903      10          5.82       1915      04          6.91       1925      05          6.37       1935      06          6.33       1945      11          7.93       1956      01          7.13       1966      07          5.41       1977      12          5.72       1988      07          8.17       1998      01          4.67       2010      09          3.41
  1820      05          3.35       1825      12          6.17       1835      09          5.40       1845      05          6.45       1857      10          8.79       1869      03         11.51       1880      10          8.63       1892      01         10.67       1903      11          6.03       1915      05          7.24       1925      06          6.80       1935      07          6.70       1945      12          8.23       1956      02          7.58       1966      08          5.75       1978      01          5.97       1988      08          8.89       1998      02          4.92       2010      10          3.69
  1820      06          3.08       1826      01          6.44       1835      10          5.67       1845      06          6.69       1857      11          9.11       1869      04         11.63       1880      11          8.91       1892      02         11.01       1903      12          6.28       1915      06          7.42       1925      07          7.37       1935      08          7.07       1946      01          8.58       1956      03          8.03       1966      09          6.09       1978      02          6.17       1988      09          9.41       1998      03          5.24       2010      11          3.89
  1820      07          2.83       1826      02          6.63       1835      11          6.10       1845      07          6.78       1857      12          9.39       1869      05         11.70       1880      12          9.14       1892      03         11.33       1904      01          6.50       1915      07          7.57       1925      08          7.82       1935      09          7.47       1946      02          9.06       1956      04          8.44       1966      10          6.33       1978      03          6.41       1988      10          9.73       1998      04          5.51       2010      12          4.05
  1820      08          2.69       1826      03          6.76       1835      12          6.49       1845      08          6.94       1858      01          9.82       1869      06         11.89       1881      01          9.53       1892      04         11.44       1904      02          6.70       1915      08          7.71       1925      09          8.16       1935      10          7.93       1946      03          9.52       1956      05          8.78       1966      11          6.45       1978      04          6.73       1988      11         10.05       1998      05          5.71       2011      01          4.19
  1820      09          2.70       1826      04          7.06       1836      01          6.79       1845      09          7.11       1858      02         10.31       1869      07         12.09       1881      02          9.81       1892      05         11.61       1904      03          6.92       1915      09          7.87       1925      10          8.37       1935      11          8.30       1946      04          9.79       1956      06          9.11       1966      12          6.57       1978      05          7.03       1988      12         10.52       1998      06          5.98       2011      02          4.34
  1820      10          2.69       1826      05          7.47       1836      02          7.27       1845      10          7.10       1858      03         10.75       1869      08         12.35       1881      03          9.78       1892      06         11.89       1904      04          7.09       1915      10          8.07       1925      11          8.47       1935      12          8.49       1946      05         10.09       1956      07          9.43       1967      01          6.67       1978      06          7.32       1989      01         10.82       1998      07          6.29       2011      03          4.63
  1820      11          2.52       1826      06          7.76       1836      03          7.63       1845      11          6.96       1858      04         11.16       1869      09         12.86       1881      04          9.82       1892      07         11.99       1904      05          7.15       1915      11          8.34       1925      12          8.65       1936      01          8.64       1946      06         10.57       1956      08          9.60       1967      02          6.85       1978      07          7.67       1989      02         11.02       1998      08          6.50       2011      04          5.04
  1820      12          2.35       1826      07          7.97       1836      04          7.58       1845      12          7.13       1858      05         11.51       1869      10         13.58       1881      05         10.03       1892      08         11.80       1904      06          7.17       1915      12          8.51       1926      01          8.79       1936      02          8.90       1946      07         10.88       1956      09          9.68       1967      03          7.02       1978      08          7.94       1989      03         11.41       1998      09          6.63       2011      05          5.52
